종목,수량,매수가,현재가,수익률(%),수익금액($),52주 최저가($),52주 최고가($),박스권 위치(%),추천 매수가($),추천 매도가($),종합평가,볼린저 위치,볼린저 평가,MACD 값,MACD 평가,RSI,RSI 평가,CCI,CCI 평가,ADX,ADX 평가,Williams %R,Williams 평가,Stochastic %K,Stochastic %D,Stochastic 평가
SPY,25,508.62,542.95,6.75,34.33,481.80,611.39,47.19,507.72,585.47,매도 (1:2:6),59.35,중립,2.45,약매수,51.67,중립,25.65,중립,31.72,하락추세,-8.49,과매수,91.51,74.95,과매수반전
SCHD,2301,25.01,25.61,2.38,0.60,23.87,29.18,32.76,24.93,28.12,매수 (4:1:3),42.22,중립,0.04,약매수,42.29,중립,-29.46,중립,31.24,하락추세,-28.40,중립,71.60,51.24,상승추세
O,1,56.69,57.43,1.30,0.74,48.42,63.08,61.46,51.35,60.15,매도 (2:2:6),65.73,중립,0.29,강매수,51.43,중립,59.65,중립,13.98,약한추세,-17.78,과매수,82.22,89.22,과매수하락
JEPQ,948,49.05,50.35,2.66,1.30,44.29,57.43,46.14,46.92,54.80,매도 (1:1:7),61.84,중립,0.25,약매수,53.05,중립,37.45,중립,33.94,하락추세,-7.71,과매수,92.29,76.67,과매수반전
BIL,921,91.51,91.66,0.17,0.15,87.44,91.67,99.76,88.29,90.82,매도 (2:0:18) - 모멘텀 지표 매도신호,86.45,매도,-0.00,약매도,100.00,과매수,119.10,과매수,100.00,강한상승,-5.00,과매수,95.00,96.82,과매수하락
SGOV,12,100.57,100.61,0.04,0.04,95.91,100.62,99.89,96.85,99.68,"매도 (7:0:17) - 모멘텀 지표 매도신호, 강한상승추세",89.09,매도,0.00,강매수,100.00,과매수,122.70,과매수,100.00,강한상승,-2.27,과매수,97.73,97.85,과매수하락
TLT,210,87.03,87.85,0.94,0.82,83.84,99.21,26.06,86.91,96.13,매수 (5:0:3),38.02,중립,-0.16,강매도,36.20,중립,-36.46,중립,20.55,하락추세,-68.70,중립,31.30,24.37,상승추세
TLTW,600,23.20,23.28,0.35,0.08,21.45,24.94,52.31,22.15,24.25,매도 (4:1:7) - 강한하락추세,43.27,중립,-0.02,강매도,37.96,중립,-19.55,중립,26.48,하락추세,-54.13,중립,45.87,38.78,상승추세
TOPT,1,23.53,23.38,-0.64,-0.15,20.39,27.01,45.15,21.71,25.69,매도 (1:1:7),61.27,중립,0.11,약매수,53.00,중립,32.30,중립,30.94,하락추세,-13.83,과매수,86.17,71.85,과매수반전
GLD,1,284.10,306.92,8.03,22.82,210.71,317.63,89.98,232.09,296.25,매수 (7:0:5) - 강한상승추세,77.96,중립,1.27,강매수,63.50,중립,86.08,중립,31.94,상승추세,-23.77,중립,76.23,76.91,하락추세
URNM,1,33.86,34.01,0.44,0.15,27.60,58.51,20.74,33.78,52.33,"매도 (6:1:10) - 모멘텀 지표 매도신호, 강한상승추세",93.59,매도,0.47,약매수,59.46,중립,139.60,과매수,30.71,상승추세,-0.97,과매수,99.03,83.72,과매수반전
VST,1,128.36,122.66,-4.44,-5.70,66.12,199.50,42.39,92.79,172.82,매도 (1:1:10) - 모멘텀 지표 매도신호,79.16,중립,1.97,약매수,60.04,중립,103.92,과매수,14.08,약한추세,-8.33,과매수,91.67,78.46,과매수반전
TEM,1,51.09,51.59,0.99,0.50,22.89,91.45,41.86,36.60,77.74,매도 (2:1:10) - 모멘텀 지표 매도신호,91.88,매도,1.22,약매수,57.55,중립,122.17,과매수,20.05,상승추세,-2.30,과매수,97.70,78.90,과매수반전
TSLA,40,252.09,254.10,0.80,2.01,157.51,488.54,29.18,223.72,422.33,보유 (2:3:2),52.82,중립,1.76,약매수,46.14,중립,11.92,중립,19.00,약한추세,-34.08,중립,65.92,52.75,상승추세
NVDA,74,109.52,105.50,-3.68,-4.03,78.20,153.12,36.44,93.18,138.13,보유 (3:2:3),50.83,중립,0.25,약매수,52.80,중립,-1.77,중립,27.19,하락추세,-33.73,중립,66.27,55.28,상승추세
AAPL,1,205.77,206.19,0.20,0.42,165.43,259.81,43.19,184.31,240.94,매도 (1:2:5),57.01,중립,1.95,약매수,51.42,중립,19.14,중립,24.45,하락추세,-15.44,과매수,84.56,73.34,과매수반전
PLTR,51,96.06,105.12,9.44,9.06,20.50,125.41,80.66,41.48,104.43,매도 (2:1:11) - 모멘텀 지표 매도신호,101.53,매도,1.83,강매수,66.30,중립,166.59,과매수,13.41,약한추세,-1.27,과매수,98.73,91.90,과매수반전
UVIX,194,57.53,48.15,-16.30,-9.38,25.85,199.70,12.83,60.62,164.93,매수 (7:1:1),39.40,중립,-1.93,약매도,48.52,중립,-37.78,중립,33.58,상승추세,-93.86,과매도,6.14,15.30,과매도하락
VIXY,1,48.26,65.38,35.46,17.12,39.56,90.08,51.11,49.66,79.98,매수 (5:2:2),50.01,중립,-0.87,약매도,52.65,중립,0.51,중립,39.09,상승추세,-87.29,과매도,12.71,33.61,과매도하락
TQQQ,171,48.94,51.02,4.26,2.09,35.00,93.20,27.53,46.64,81.56,매도 (1:2:6),55.59,중립,0.94,약매수,50.69,중립,11.36,중립,34.69,하락추세,-12.97,과매수,87.03,64.91,과매수반전
QQQ,11,450.27,463.68,2.98,13.41,402.39,540.00,44.54,429.91,512.48,매도 (1:1:7),65.40,중립,2.79,약매수,53.75,중립,46.70,중립,31.12,하락추세,-6.34,과매수,93.66,75.97,과매수반전
